Trace	Run Date
473	2011-10-06T21:18:46:000
474	2011-10-06T22:18:47:000
475	2011-10-06T23:18:47:000
476	2011-10-07T00:18:47:000
477	2011-10-07T02:18:47:000
478	2011-10-07T03:18:47:000
479	2011-10-07T04:18:47:000
480	2011-10-07T05:18:47:000
481	2011-10-07T06:18:47:000
482	2011-10-07T07:18:47:000
483	2011-10-07T08:18:47:000
484	2011-10-07T09:18:47:000
485	2011-10-07T10:18:47:000
486	2011-10-07T11:18:47:000
487	2011-10-07T12:18:48:000
488	2011-10-07T13:18:48:000
489	2011-10-07T14:18:48:000
490	2011-10-07T15:18:48:000
491	2011-10-07T16:18:48:000
492	2011-10-07T17:18:48:000
493	2011-10-07T18:18:48:000
494	2011-10-07T19:18:48:000
495	2011-10-07T20:18:48:000
496	2011-10-07T21:18:48:000
497	2011-10-07T22:18:48:000
498	2011-10-07T23:18:48:000
499	2011-10-08T00:18:48:000
500	2011-10-08T01:18:48:000
501	2011-10-08T02:18:48:000
502	2011-10-08T03:18:48:000
503	2011-10-08T04:18:48:000
504	2011-10-08T05:18:49:000
505	2011-10-08T06:18:49:000
506	2011-10-08T07:18:49:000
507	2011-10-08T08:18:49:000
508	2011-10-08T09:18:49:000
509	2011-10-08T10:18:49:000
510	2011-10-08T11:18:49:000
511	2011-10-08T12:18:49:000
512	2011-10-08T13:18:49:000
513	2011-10-08T14:18:49:000
514	2011-10-08T15:18:49:000
515	2011-10-08T16:18:49:000
516	2011-10-08T17:18:49:000
517	2011-10-08T18:18:49:000
518	2011-10-08T19:18:49:000
519	2011-10-08T20:18:49:000
520	2011-10-08T21:18:50:000
521	2011-10-08T22:18:50:000
522	2011-10-08T23:18:50:000
523	2011-10-09T00:18:50:000
524	2011-10-09T01:18:50:000
525	2011-10-09T02:18:50:000
526	2011-10-09T03:18:50:000
527	2011-10-09T04:18:50:000
528	2011-10-09T05:18:50:000
529	2011-10-09T06:18:50:000
530	2011-10-09T07:18:50:000
531	2011-10-09T08:18:50:000
532	2011-10-09T09:18:50:000
533	2011-10-09T10:18:50:000
534	2011-10-09T11:18:50:000
535	2011-10-09T12:18:50:000
536	2011-10-09T13:18:51:000
537	2011-10-09T14:18:51:000
538	2011-10-09T15:18:51:000
539	2011-10-09T16:18:51:000
540	2011-10-09T17:18:51:000
541	2011-10-09T18:18:51:000
542	2011-10-09T19:18:51:000
543	2011-10-09T20:18:51:000
544	2011-10-09T21:18:51:000
545	2011-10-09T22:18:51:000
546	2011-10-09T23:18:51:000
547	2011-10-10T02:18:52:000
548	2011-10-10T03:18:52:000
549	2011-10-10T07:18:52:000
550	2011-10-10T08:18:52:000
551	2011-10-10T09:18:52:000
552	2011-10-10T10:18:52:000
553	2011-10-10T11:18:52:000
554	2011-10-10T13:18:52:000
555	2011-10-10T14:18:52:000
556	2011-10-10T15:18:52:000
557	2011-10-10T16:18:52:000
558	2011-10-10T17:18:53:000
559	2011-10-10T18:18:53:000
560	2011-10-10T19:18:53:000
561	2011-10-10T20:18:53:000
562	2011-10-10T21:18:53:000
563	2011-10-10T22:18:53:000
564	2011-10-10T23:18:53:000
565	2011-10-11T00:18:53:000
566	2011-10-11T01:18:53:000
567	2011-10-11T02:18:53:000
568	2011-10-11T03:18:53:000
569	2011-10-11T04:18:53:000
570	2011-10-11T05:18:53:000
571	2011-10-11T06:18:53:000
572	2011-10-11T07:18:53:000
573	2011-10-11T08:18:54:000
574	2011-10-11T10:18:54:000
575	2011-10-11T11:18:54:000
576	2011-10-11T12:18:54:000
577	2011-10-11T13:18:54:000
578	2011-10-11T14:18:54:000
579	2011-10-11T15:18:54:000
580	2011-10-11T16:18:54:000
581	2011-10-11T17:18:54:000
582	2011-10-11T18:18:54:000
583	2011-10-11T19:18:54:000
584	2011-10-11T23:18:54:000
585	2011-10-12T03:18:55:000
586	2011-10-12T04:18:55:000
587	2011-10-12T05:18:55:000
588	2011-10-12T10:18:55:000
589	2011-10-12T11:18:55:000
590	2011-10-12T12:18:55:000
591	2011-10-12T13:18:55:000
592	2011-10-12T14:18:55:000
593	2011-10-12T15:18:55:000
594	2011-10-12T16:18:55:000
595	2011-10-12T17:18:56:000
596	2011-10-12T20:18:56:000
597	2011-10-12T21:18:56:000
598	2011-10-12T22:18:56:000
599	2011-10-12T23:18:56:000
600	2011-10-13T00:18:56:000
601	2011-10-13T05:18:56:000
602	2011-10-13T09:18:57:000
603	2011-10-13T11:18:57:000
604	2011-10-13T14:18:57:000
605	2011-10-13T15:18:57:000
606	2011-10-14T11:18:58:000
607	2011-10-14T13:18:58:000
608	2011-10-14T14:18:59:000
609	2011-10-14T15:18:59:000
610	2011-10-14T16:18:59:000
611	2011-10-14T17:18:59:000
612	2011-10-14T18:18:59:000
613	2011-10-14T19:18:59:000
614	2011-10-14T20:18:59:000
615	2011-10-14T21:18:59:000
616	2011-10-14T22:18:59:000
617	2011-10-14T23:18:59:000
618	2011-10-15T00:18:59:000
619	2011-10-15T01:18:59:000
620	2011-10-15T02:18:59:000
621	2011-10-15T03:18:59:000
622	2011-10-15T04:18:59:000
623	2011-10-15T05:19:00:000
624	2011-10-15T06:19:00:000
625	2011-10-15T07:19:00:000
626	2011-10-15T08:19:00:000
627	2011-10-15T09:19:00:000
628	2011-10-15T10:19:00:000
629	2011-10-15T11:19:00:000
630	2011-10-15T12:19:00:000
631	2011-10-15T13:19:00:000
632	2011-10-15T14:19:00:000
633	2011-10-15T15:19:00:000
634	2011-10-15T16:19:00:000
635	2011-10-15T17:19:00:000
636	2011-10-15T18:19:00:000
637	2011-10-15T19:19:00:000
638	2011-10-15T20:19:01:000
639	2011-10-15T21:19:01:000
640	2011-10-15T22:19:01:000
641	2011-10-15T23:19:01:000
642	2011-10-16T00:19:01:000
643	2011-10-16T01:19:01:000
644	2011-10-16T02:19:01:000
645	2011-10-16T03:19:01:000
646	2011-10-16T04:19:01:000
647	2011-10-16T05:19:01:000
648	2011-10-16T06:19:01:000
649	2011-10-16T07:19:01:000
650	2011-10-16T08:19:01:000
651	2011-10-16T09:19:01:000
652	2011-10-16T10:19:01:000
653	2011-10-16T11:19:02:000
654	2011-10-16T12:19:02:000
655	2011-10-16T13:19:02:000
656	2011-10-16T14:19:02:000
657	2011-10-16T15:19:02:000
658	2011-10-16T16:19:02:000
659	2011-10-16T17:19:02:000
660	2011-10-16T18:19:02:000
661	2011-10-16T19:19:02:000
662	2011-10-16T20:19:02:000
663	2011-10-16T21:19:02:000
664	2011-10-16T22:19:02:000
665	2011-10-16T23:19:02:000
666	2011-10-17T00:19:02:000
667	2011-10-17T01:19:03:000
668	2011-10-17T02:19:03:000
669	2011-10-17T03:19:03:000
670	2011-10-17T04:19:03:000
671	2011-10-17T05:19:03:000
672	2011-10-17T10:19:03:000
673	2011-10-17T11:19:03:000
674	2011-10-17T15:19:03:000
675	2011-10-17T17:19:04:000
676	2011-10-17T18:19:04:000
677	2011-10-17T23:19:04:000
678	2011-10-18T01:19:04:000
679	2011-10-18T05:19:04:000
680	2011-10-18T10:19:05:000
681	2011-10-18T11:19:05:000
682	2011-10-18T15:19:05:000
683	2011-10-18T17:19:05:000
684	2011-10-18T18:19:05:000
685	2011-10-18T23:26:31:000
686	2011-10-19T01:26:31:000
687	2011-10-19T05:26:31:000
688	2011-10-19T10:26:31:000
689	2011-10-19T11:26:31:000
690	2011-10-19T15:26:31:000
691	2011-10-19T17:26:31:000
692	2011-10-19T18:26:31:000
693	2011-10-19T23:26:31:000
694	2011-10-20T01:26:31:000
695	2011-10-20T05:26:31:000
696	2011-10-20T10:26:31:000
697	2011-10-20T11:26:31:000
698	2011-10-20T13:26:31:000
699	2011-10-20T14:26:31:000
700	2011-10-20T15:26:31:000
701	2011-10-20T16:26:31:000
702	2011-10-20T17:26:31:000
703	2011-10-20T18:26:31:000
704	2011-10-20T19:26:31:000
705	2011-10-20T20:26:31:000
706	2011-10-20T21:26:31:000
707	2011-10-20T22:26:31:000
708	2011-10-20T23:26:31:000
709	2011-10-21T00:26:31:000
710	2011-10-21T01:26:31:000
711	2011-10-21T02:26:32:000
712	2011-10-21T03:26:32:000
713	2011-10-21T04:26:32:000
714	2011-10-21T05:26:32:000
715	2011-10-21T06:26:32:000
716	2011-10-21T07:26:32:000
717	2011-10-21T08:26:32:000
718	2011-10-21T09:26:32:000
719	2011-10-21T10:26:32:000
720	2011-10-21T11:26:32:000
721	2011-10-21T12:26:32:000
722	2011-10-21T13:26:32:000
723	2011-10-21T14:26:32:000
724	2011-10-21T15:26:32:000
725	2011-10-21T16:26:32:000
726	2011-10-21T17:26:32:000
727	2011-10-21T18:26:32:000
728	2011-10-21T19:26:32:000
729	2011-10-21T20:26:32:000
730	2011-10-21T21:26:32:000
731	2011-10-21T22:26:32:000
732	2011-10-21T23:26:32:000
733	2011-10-22T00:26:32:000
734	2011-10-22T01:26:32:000
735	2011-10-22T03:26:32:000
736	2011-10-22T05:26:32:000
737	2011-10-22T09:26:32:000
738	2011-10-22T10:26:32:000
739	2011-10-22T11:26:32:000
740	2011-10-22T12:26:32:000
741	2011-10-22T15:26:32:000
742	2011-10-22T17:26:32:000
743	2011-10-22T18:26:32:000
744	2011-10-22T23:26:32:000
745	2011-10-23T01:26:32:000
746	2011-10-23T05:26:32:000
747	2011-10-23T08:26:32:000
748	2011-10-23T09:26:32:000
749	2011-10-23T10:26:32:000
750	2011-10-23T11:26:32:000
751	2011-10-23T15:26:32:000
752	2011-10-23T17:26:32:000
753	2011-10-23T18:26:32:000
754	2011-10-23T23:26:32:000
755	2011-10-24T01:26:32:000
756	2011-10-24T02:26:32:000
757	2011-10-24T03:26:33:000
758	2011-10-24T04:26:33:000
759	2011-10-24T05:26:33:000
760	2011-10-24T06:26:33:000
761	2011-10-24T07:26:33:000
762	2011-10-24T08:26:33:000
763	2011-10-24T09:26:33:000
764	2011-10-24T10:26:33:000
765	2011-10-24T11:23:52:000
766	2011-10-24T12:23:52:000
767	2011-10-24T13:23:53:000
768	2011-10-24T14:23:53:000
769	2011-10-24T15:23:53:000
770	2011-10-24T16:23:53:000
771	2011-10-24T16:55:08:000
772	2011-10-24T17:55:08:000
773	2011-10-24T18:55:08:000
774	2011-10-24T19:55:08:000
775	2011-10-24T20:55:08:000
776	2011-10-24T21:55:08:000
777	2011-10-24T23:55:08:000
778	2011-10-25T00:55:08:000
779	2011-10-25T01:55:08:000
780	2011-10-25T02:55:08:000
781	2011-10-25T03:55:08:000
782	2011-10-25T05:55:09:000
783	2011-10-25T06:55:09:000
784	2011-10-25T07:55:09:000
785	2011-10-25T09:55:09:000
786	2011-10-25T10:55:09:000
787	2011-10-25T11:55:09:000
788	2011-10-25T12:55:10:000
789	2011-10-25T14:55:10:000
790	2011-10-25T15:55:10:000
791	2011-10-25T17:55:10:000
792	2011-10-25T19:55:10:000
793	2011-10-25T20:55:10:000
794	2011-10-25T21:55:10:000
795	2011-10-25T22:55:10:000
796	2011-10-25T23:55:10:000
797	2011-10-26T00:55:10:000
798	2011-10-26T01:55:10:000
799	2011-10-26T10:55:10:000
800	2011-10-26T14:55:10:000
801	2011-10-26T15:55:10:000
802	2011-10-26T16:55:10:000
803	2011-10-26T17:55:10:000
804	2011-10-26T18:55:10:000
805	2011-10-26T19:55:10:000
806	2011-10-26T20:55:10:000
807	2011-10-26T21:55:10:000
808	2011-10-26T22:55:10:000
809	2011-10-26T23:55:10:000
810	2011-10-27T01:55:10:000
811	2011-10-27T06:55:10:000
812	2011-10-27T09:16:03:000
813	2011-10-27T09:32:10:000
814	2011-10-27T09:38:17:000
815	2011-10-27T10:23:06:000
816	2011-10-27T11:12:28:000
817	2011-10-27T11:35:35:000
818	2011-10-27T11:53:31:000
819	2011-10-27T12:07:29:000
820	2011-10-27T12:10:47:000
821	2011-10-27T12:14:58:000
822	2011-10-27T13:14:58:000
